Algorithmus;Geometrie;Zeit(ms);Bilderanzahl;Abdeckungsrate
GUI_ID_FORCE;GUI_ID_ELIPSE_BUTTON;304292;2;0.551282
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_ELIPSE_BUTTON;302650;13;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_ELIPSE_BUTTON;1004;3;1
GUI_ID_QUADSEARCH;GUI_ID_HEXAGON_BUTTON;1006;4;1
GUI_ID_GREEDY;GUI_ID_HEXAGON_BUTTON;1013;7;1
GUI_ID_FORCE;GUI_ID_HEXAGON_BUTTON;302435;2;0.520468
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_HEXAGON_BUTTON;302227;24;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_HEXAGON_BUTTON;1008;7;1
GUI_ID_QUADSEARCH;GUI_ID_TRAPEZE_BUTTON;1014;3;1
GUI_ID_GREEDY;GUI_ID_TRAPEZE_BUTTON;1011;4;1
GUI_ID_FORCE;GUI_ID_TRAPEZE_BUTTON;306836;3;0.75
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_TRAPEZE_BUTTON;306456;13;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_TRAPEZE_BUTTON;1009;4;1
GUI_ID_QUADSEARCH;GUI_ID_SQUARE_BUTTON;1002;35;1
GUI_ID_GREEDY;GUI_ID_SQUARE_BUTTON;18037;61;1
GUI_ID_FORCE;GUI_ID_SQUARE_BUTTON;302658;3;0.095657
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_SQUARE_BUTTON;300877;196;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_SQUARE_BUTTON;2019;54;1
GUI_ID_QUADSEARCH;GUI_ID_SQUARE_BUTTON;1002;4;1
GUI_ID_GREEDY;GUI_ID_SQUARE_BUTTON;1001;6;1
GUI_ID_FORCE;GUI_ID_SQUARE_BUTTON;306145;2;0.47561
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_SQUARE_BUTTON;303734;28;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_SQUARE_BUTTON;1014;7;1
GUI_ID_QUADSEARCH;GUI_ID_TRAPEZE_BUTTON;1000;3;1
GUI_ID_GREEDY;GUI_ID_TRAPEZE_BUTTON;1001;4;1
GUI_ID_FORCE;GUI_ID_TRAPEZE_BUTTON;301202;3;0.766129
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_TRAPEZE_BUTTON;301803;12;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_TRAPEZE_BUTTON;1007;4;1
GUI_ID_QUADSEARCH;GUI_ID_HEXAGON_BUTTON;1002;2;1
GUI_ID_GREEDY;GUI_ID_HEXAGON_BUTTON;1001;2;1
GUI_ID_FORCE;GUI_ID_HEXAGON_BUTTON;304462;3;0.591304
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_HEXAGON_BUTTON;301913;11;1
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_HEXAGON_BUTTON;1007;2;1
GUI_ID_QUADSEARCH;GUI_ID_ELIPSE_BUTTON;1003;7;1
GUI_ID_GREEDY;GUI_ID_ELIPSE_BUTTON;1002;10;1
GUI_ID_FORCE;GUI_ID_ELIPSE_BUTTON;303835;3;0.259434
GUI_ID_SEQUENCE_MONTE_CARLO;GUI_ID_ELIPSE_BUTTON;300543;12;0.943396
GUI_ID_ROLLOUT_MONTE_CARLO;GUI_ID_ELIPSE_BUTTON;1003;10;1
